date;accuracy_condition;prolific_id;participant_id;consent;statement_id;text;statement_condition;confidence_range;duration;correct_prediction;ai_judgment;participant_judgment
2025-03-04;accuracy_high;['no_prolific_id'];4a7b3f04-4130-4fd1-8378-31d91118107b;Accepted;3SNLUL3WO598VQW7QDZSOIFL6UQLU8;I gave birth to my first daughter in May. I have two toddler boys, so I was terrified to have a third so close in age. While I usually love being pregnant, this one was a little harder on me both physically and mentally. I was constantly exhausted due to running around with a 3 year old and one year old every day. When I found out I was pregnant we had planned on waiting a few years before deciding if we wanted a third child, but we were very surprised when I got a positive pregnancy test.  It was a very trying pregnancy for me, and I spent most of my time panicking that I couldn't handle three kids. Everything changed when E was born. All of the things I had worried about wound up being much easier than expected. While things are a little more time consuming and difficult with three kids, I could not imagine life without her. Watching my sons interact with her, and seeing the love they have for her is such a blessing. Even though unplanned, I love having all my kids so close in age because then they will be able to play together as they grow older. My second child was a difficult baby, which was one of the reasons I was so scared to have another. So far, E has been the easiest baby. She sleeps decently,  and is content on her own most of the time. I am constantly amazed at how perfect her and my boys are, and am so thankful for how our family turned out. I really feel as though our family is complete now.;truthful;very confident;47.24538279;1;40;41
2025-03-04;accuracy_high;['no_prolific_id'];4a7b3f04-4130-4fd1-8378-31d91118107b;Accepted;3M81GAB8A154QO3EIRQT0EMRS13BQC;When I was a child, there was a hill that felt as if it were a straight drop. Of course, when you're young you do not read this as danger. Instead, you read this as excitement. All of the neighborhood kids would talk about 'bombing' the hill on your bike. Any kid who could do this would automatically gain bragging rights. And as a kid, bragging rights are the most valuable form of currency. It took little to no convincing before my cousins and I found ourselves atop of the hill, looking down towards the street below. What was the worst that could happen? I strapped my helmet on tight, and my cousins did the same. We had no knee pads. There was no protection from the asphalt other than our thin t shirts and shorts. Kids do not thin things through. Instead, they just act. The whole neighborhood gathered at the top of the hill. And with one deep breathe, we were off. At first the thrill was exciting- that feeling in your stomach when you drop on a roller coaster. But within seconds, we lost control of our bikes. The terrain was rougher than expected, and collided. My cousin writhed in pain from a broken wrist. My face was scrathed, my shoulder dislocated. Parents ran out of their homes. We spent the summer in casts- but we had the most bragging rights in the neighborhood.;deceptive;moderately confident;30.92158961;1;-28;-28
2025-03-04;accuracy_high;['no_prolific_id'];96b1e6e9-d504-4f4c-a999-7de0c26f1887;Accepted;3QJOXOW4XKDBCCH60PL2KD87J5WEMJ;I have a disability. I cannot hear ever since I was a baby. I grew up with difficulties because I could not be taught like other kids in school. I had to attend a special needs school where I was taught through sign language. Fortunately, I can speak, so responding in school wasn't a problem. The biggest problem for me is not being able to have a normal social life. Most of the people I know, including my friends and family don't have the same problem so it's not easy for them to adapt to me when I'm around. It kills me when I see them laughing at a joke that I did not hear. Whenever I am with other people, I cannot help but feel inferior. I recently talked about it with one of my friends and she told that they try to make sure that I am included but sometimes involuntarily end up forgetting that some one with special needs is around. Moreover, having this disability as a woman is very hard. Other than not having a meaningful social life, my dating life has been hell. I can hardly ever connect with anyone. For someone to date me, they would need to be fluent in sign language and willing to use it all the time to talk to me. It's also worth noting that it's hard to express emotions through sign language so it's hard for me to have an emotional connection with a partner. Most of my partners just end up leaving because my life situation is too much for them to endure.;deceptive;confident;45.62330818;1;-37;-8
2025-03-04;accuracy_high;['no_prolific_id'];96b1e6e9-d504-4f4c-a999-7de0c26f1887;Accepted;attention_check_2;"This is an attention check and serves to validate your participation. Please put the slider at the position 33. The rest of this statement is just a placeholder.
                Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
                Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.
                Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
                Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.";attention_check;;64.25467515;0;33;0
2025-03-04;accuracy_high;['no_prolific_id'];96b1e6e9-d504-4f4c-a999-7de0c26f1887;Accepted;3YZ8UPK3VU8FSM21D06TLZPY59PUCJ;Four months ago, we went to Taiwan. We visited my Wife's mother. She was there to treat her cancer. I gave her a big hug. We both shared a cry over the bad news. We talked about how our lives were going. My wife got a promotion at her job. She got double her pay and some more vacation days. I just made a new product. It will be hitting the stores soon. I hope to make a lot of money off of this invention. My Wife's mother has just been lying in the bed. The doctor came over and had really bad news. He said that the cancer got worse. We had to leave. I don't know if we'll ever see her ever again.;deceptive;very confident;28.76022053;0;48;-46
2025-03-04;accuracy_high;['no_prolific_id'];96b1e6e9-d504-4f4c-a999-7de0c26f1887;Accepted;31JLPPHS2VGW2HMLOLJJTQTFOKCO3H;4 weeks ago I found an article about making your own e-liquid. I been vaping for a while now. Vaping is very enjoyable to me. Vaping helps to calm me down during stressful time. It also relaxes me when im not stressed. Although I enjoy vaping, at times it can be expensive. I was amazed when I read the article about making your own. It seemed really simple to do. All the ingredients were cheap. Also all the ingredients were easy to obtain. I immediately saved the page and made the list. I proceeded to go to the store for the items. The ingredient list was simple and short. I was more shocked that the total cost was less than expected. I carefully followed the instructions and made a batch. I was surprised at how well it turned out. It ended up being better than expected. It was great to get the desired effects at a savings. I highly recommend this for anyone who vapes. It's a real cost savings.;deceptive;indecisive;232.6483507;1;-1;16
2025-03-04;accuracy_high;['no_prolific_id'];96b1e6e9-d504-4f4c-a999-7de0c26f1887;Accepted;3K772S5NP9XPKYGV9S5PS80BX7LEH5;I recently hosted a bridal shower for my best friend. The shower was at her mom's house. I arrived early to set up decorations. The caterer showed up and set up the food also. Once the guests arrived, everyone ate first. After everyone had a chance to enjoy their food, I began the games. There were three games in total. Each game winner received a prize. After the games were done, the bride-to-be opened her gifts. She received a lot of gifts. The most memorable gift was a gag gift from her coworkers. The bride-to-be did not realize it was a gag at the time, which made her reaction to opening the gift even funnier, because she was trying to maintain a serious face. After the gifts, guests socialized for a little long, took pictures, and said their goodbyes. I stayed after the guests had left to clean up. Once the shower was over, we got ready for the bachelorette party that was later that night. We went out to eat and then went to several bars.;truthful;moderately confident;260.4749527;1;28;13
2025-03-04;accuracy_high;['no_prolific_id'];96b1e6e9-d504-4f4c-a999-7de0c26f1887;Accepted;3BF51CHDTWWQT8111L6A7JY70Y6H0Y;My son was in the yard and he happened to hurt his arm really bad while diving to catch a ball. I had to rush him to urgent care, so they could take x-rays, as his arm started to swell. Unfortunately it turned out to be broken, so the doctor put a cast on it. Then, something else happened. When we went to leave the parking garage of the hospital, the car wouldn't start. I had to call a tow truck to take us home. What crazy day it was. The tow truck came quickly thankfully. The driver looked at some basic things to see what it could be, but couldn't really guess what the problem was. They hitched the car to the truck and we sat upfront in the tow truck as he drove us to a repair station. We dropped the car at the station, and the tow truck driver gave us a ride home. I was totally starting to worry though. I now knew there was a medical bill coming, and on top of that I now had a repair bill for my car that would be coming soon, and I had no real idea of how much that would turn out to be. I guess that is how it goes sometimes. Bad things tend to happen all at once. I can't wait until this month is over.;deceptive;poorly confident;12.73818779;1;-14;-47
2025-03-04;accuracy_high;['no_prolific_id'];96b1e6e9-d504-4f4c-a999-7de0c26f1887;Accepted;3P4MQ7TPPYYHMI1PZ9T35PRS4JZBBV;A few months ago i got in a argument with a friend. We were drinking and he was being mean to me. Ive been picked on by some of my friends over my lifetime. I think he  thought he was joking around but i got really upset. He was making fun of my voice for the way i talk. He was doing it at a bar in front of a group of people. I got mad and challenged him to fight. We have since made up and i told him its ok lets move on. But i really dont want to associate with him any more. Im a grown man and some of my friends from when i was younger im discovering are not good people. Also too much of what of what my old friends always want to do is drink. I struggle moving on because its hard to make new friends. But im realizing im a different person and want to be around different people. While it was just a small fight it kind of led to think about my life and who i want to be around. Ive been hanging out with my family more and more these days.;truthful;confident;8.514188051;1;34;17
2025-03-04;accuracy_high;['no_prolific_id'];96b1e6e9-d504-4f4c-a999-7de0c26f1887;Accepted;attention_check_1;"This is an attention check and serves to validate your participation. Please put the slider at the position -20. The rest of this statement is just a placeholder.
                Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
                Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.
                Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
                Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.";attention_check;;7.582635403;0;-20;-20
2025-03-04;accuracy_high;['no_prolific_id'];96b1e6e9-d504-4f4c-a999-7de0c26f1887;Accepted;3D3VGR7TA11ZZUE1GD0NNLYKYDD3RX;I am disabled. Currently, I have been confined to a wheelchair for seven years. However, recently I have been practicing intensely on learning to walk again. Currently, I use a wheelchair for mobility purposes. After three weeks of intensive physical therapy, I was able to walk 50ft with a walker. This event was monumental to me. I also found the experience very rewarding. I only hope in the future that I continue to make improvements. I will continue going to physical therapy three times a week. This will guarantee that my strength will increase and as a result walking with the walker will become easier. Ultimately, it is my goal to advance to walking with forearm crutches. Having the ability to walk would make it possible for me to be so much more independent. Independence is a vital necessity for a good life to me. I will work as hard as possible to achieve this goal. I am more than determined.;truthful;poorly confident;9.208975792;1;18;-33
2025-03-04;accuracy_high;['no_prolific_id'];96b1e6e9-d504-4f4c-a999-7de0c26f1887;Accepted;34MAJL3QP59SYOC3514AFSNA7VK43Z;"I recently went on a date with a girl. She's an old girlfriend of mine. And I'm sponsoring her in a twelve-step program. Getting romantically involved is very taboo in a twelve-step program, especially among sponsors and sponsees. But she came to visit me. We hadn't seen each other face-to-face in years. When she showed up, we immediately started flirting. We went out to eat that night. She ended up staying the night. We became romantically involved even though both of us sort of knew better. But we've been doing great since. We decided that we wanted to get closer. It was worth the risk, we both agreed. I must admit, the ""wrong"" nature of what we did sort of made it more appealing. I think she would agree with that.";truthful;indecisive;27.52568746;1;7;45
2025-03-04;accuracy_high;['no_prolific_id'];96b1e6e9-d504-4f4c-a999-7de0c26f1887;Accepted;3KMS4QQVK3C8S2HZAOSSNI138SRFKS;The bad part is, five weeks later and I don’t feel like I am any closer to achieving my goal than when I started. I mean I enjoy the job that I moved out here for it just seems like there isn’t enough room for advancement. So to be honest I don’t know what to do anymore. Recently I’ve been talking with my family on skype and they tell me to come home. I know they mean well, but I wish they could just come here instead. They told me I was crazy for doing what I did, and maybe they are right. But the craziest thing are usually the best things too! At least I hope they are, especially I. This case. I feel like giving up, like crying. I don’t know why this always happens to me, but I think I’m going to try and take some leave to clear my head. I want to see my family again and just get this weight and pressure to succeed off my back. In the end I guess I would be happy either way. To be honest as long as I keep my smile and my love for myself and my family in mind I know I will do great things in my life. I I just have to keep believing, and never stop.;deceptive;moderately confident;8.543124914;1;-26;-39
2025-03-04;accuracy_high;['no_prolific_id'];96b1e6e9-d504-4f4c-a999-7de0c26f1887;Accepted;3VD82FOHKRAKFHI4HEUKMTX95HBOCG;After we sold our house of 19 years I thought that building our new home on our dream property would be easy. My husband had worked his job for over eight years and life seemed to be moving well. We enjoyed our new town living close by in our camper. We knew it would be a few months until we could move on our property while living in our RV. It just happened that the day we went to closed on our property my husband received a phone from his work. He had just lost his job. It could not have come at a worse time. We were just hours away from closing on the the property and start the house building process. One of the smart things that we did was pay cash for our property. So losing the property was not even on the horizon. It was ours, but it would delay us from actually building our home. So there we were homeless. We had a home, but not a brick and mortar home. Not one that was stable. Or so we thought. We took this opportunity to travel with our boys. We had a bit of a savings and decided that we would travel. Our home had wheels and we could take it anywhere with us! We saw parts of the country we had never seen. Stayed in places we would have never stayed in if it was not for him losing his job. We woke up to some of the most stunning sunrises and went to bed with the absolute gorgeous sunsets. I remember my son saying mom we do need a house we have a home.  He was right. We had a home it just had wheels.;truthful;very confident;6.988502264;1;45;23
2025-03-04;accuracy_high;['no_prolific_id'];82c661bb-14e0-44e6-bbb7-8219338fafa0;Accepted;304SM51WA4QG34IRAVFYVE1SKNTBSC;"It's really easy to forget that our parents aren't our world. I always relied on my dad and step-mom for guidance and support. Anytime  I had a problem, I could always count on them, whether it be general life advice, help bailing me out on a late rent payment, or just general hanging out. I always thought they'd be there for ever. I kinda took it for granted. This all changed about three months or so ago. I hadn't been in contact in a while. I figured"" hey, they're doing fine, enjoying retirement and the empty nester life. Let me let them enjoy their down time"". This all changed when I got a call from my uncle,telling me I should get in contact with them immediately . At fist I was like ""I'm sure they're fine"". But after must insistence, I made a visit to there homes. Boy, am I glad I did. Walking through the doors of my childhood home, I was immediately greeted by the sights and smells of a hording situation. It turns out that not only is my step-mother in the advanced stages of dementia, my father has stage four liver cancer. Neither of them have much longer to live. Just goes to show, you can't take anything for granted in this life, especially your family.";deceptive;indecisive;67.91380548;0;0;34
2025-03-04;accuracy_high;['no_prolific_id'];82c661bb-14e0-44e6-bbb7-8219338fafa0;Accepted;attention_check_1;"This is an attention check and serves to validate your participation. Please put the slider at the position -20. The rest of this statement is just a placeholder.
                Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
                Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.
                Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
                Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.";attention_check;;45.16252041;0;-20;-20
2025-03-04;accuracy_high;['no_prolific_id'];82c661bb-14e0-44e6-bbb7-8219338fafa0;Accepted;attention_check_2;"This is an attention check and serves to validate your participation. Please put the slider at the position 33. The rest of this statement is just a placeholder.
                Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
                Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.
                Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
                Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.";attention_check;;14.36106825;0;33;33
2025-03-04;accuracy_high;['no_prolific_id'];82c661bb-14e0-44e6-bbb7-8219338fafa0;Accepted;3VJ40NV2QJ911YKF30PAB3XDK8PTOJ;I started a company within the past six months and it was a really rewarding experience. It was also difficult and stressful. The most surprising part was that I stuck with it, even with the challenges. I was happy that I was able to stick with my plans in spite of the challenges. Overcoming challenges made the event more memorable to me. I was not able to eat, sleep or have fun, but when I finally succeeded I had a feeling of joy. I was excited that I was able to create something from nothing. I also had a feeling of hope, and I believe that the company will succeed. I also developed a feeling of pride in what I had accomplished. I basically told everyone that I came into contact with about my company, and I had genuine passion for it. I worked extremely hard to accomplish my goal and stayed disciplined. Starting my company was one of the best things that has happened to me in my young life. I believe that starting my own company in spite of the challenges could be inspirational for others. I also believe that the service I provide can help make the world a better place. I have a great sense of accomplishment from what I have been able to do. In the future, I do want to share my background and story with other people.;truthful;very confident;10.84350896;1;45;9
2025-03-04;accuracy_high;['no_prolific_id'];82c661bb-14e0-44e6-bbb7-8219338fafa0;Accepted;3OF2M9AATHAEXJ8ZB0MZQAHLKXMZK1;Google can be an exciting place to work for, but it can also be a place where you slowly die as an individual. You may make a difference for the company with what you do, but in my case, day in and day out, I was involved in the most meaningless tasks and unappealing jobs ever. Don’t get me wrong. I was making $ 140,000 for writing simple code and playing ping-pong with the other Google engineers. Free lunches and subsidized transportation was also lovely. But at the end of the day, I was not fulfilled. Every morning I woke up unhappy because I was working with my brain instead of my heart. I was excellent about what I was doing, but I had no passion for it. I realized that I needed to pivot and turn my passion into my career.  It was not an easy decision because everyone I talked to thought it was not a good idea. But I did it anyway. I turned in my resignation letter one month ago and moved to Colorado and have made snowboarding my new life. I have been hired as a backcountry tour guide. I know my Google colleagues would be laughing with my current salary. I will get $ 30,000 a year plus incentives, almost five times less than what I was making at Google. And I love every minute of it.;deceptive;confident;33.16579866;1;-33;-23
2025-03-04;accuracy_high;['no_prolific_id'];82c661bb-14e0-44e6-bbb7-8219338fafa0;Accepted;3H7Z272LX8TV3LOB9R0YECSM00UPLO;I have never taken on a remodeling project in our home.  I was excited and nervous because it seemed like we were spending a lot of money to buy materials and hire a contractor.  There are many parts of our home that need work but we decided on the master bathroom.  I had picked out a contractor who had done a small job for me 2 years ago but I really didn't know him well.  He didn't give me much guidance about what I needed to do to prepare for the project so all I did was pick out some tile for the wall.  I think he assumed that I knew more than I know (I tend to fool people like this sometimes :) ) so I felt kind of stupid when he was asking me questions.  It turned out that he had similar taste in terms of design and he was able to give me some great advice.  He and his helper were easy to be around and I feel like I made a new friend.  The bathroom is beautiful but this isn't where the story ends.  Meeting him kind of flipped my  world on its axis.  I found myself energized to not only see the house differently but to look at myself differently.  It's like I woke up from a funk and have started paying attention to myself and my surroundings.  I painted the front of the house and replaced the house numbers.  I bought some plants to add some color.  I renewed my  gym membership and started going regularly.  I polish my nails now!  Maybe I was depressed, I don't know.  I'm not manic now, I still love to watch TV and go online but I feel like I can do anything I set my mind to.;truthful;moderately confident;4.63962245;0;-24;14
2025-03-04;accuracy_high;['no_prolific_id'];82c661bb-14e0-44e6-bbb7-8219338fafa0;Accepted;3IFS6Q0HJJ5QQCWXG57FH1556GJSI5;The story must correspond to the summary and I believe this one does. I'm going to tell you a story about what happened to me because of being a kind person. A years ago when I was going down the highway there was someone who's belongings flew off of his truck. It included things like a dresser and a mattress. Things were all over the highway and I knew he would need help to get it picked up before they got damaged or caused an accident. I decided to pull over to the side of the highway and assist him with picking his items up. We got things picked up from the highway and back into his truck. I used some extra tie down straps I had in my truck to help secure his items. After all of that was done we got to some talking and I find out that he is actually the CEO of a tech startup. He offers me a job on the spot saying that he would love to have such a kind person working with him. After a series of bad investments and bad luck, he eventually had to shut down the company. What I learned while working there was invaluable. I learned how to do things on my own and I now successfully work from home. This was a huge deal for me because I have depression that makes it hard to get out and be social around people. Working from home is perfect for me. I will forever be grateful to that man. I will never forget that day that changed my life forever, all because of a simple act of kindness.;deceptive;poorly confident;10.26930213;1;-22;-34
2025-03-04;accuracy_high;['no_prolific_id'];82c661bb-14e0-44e6-bbb7-8219338fafa0;Accepted;358UUM7WR0PH0DFOIP3D02A0FUXR7U;About 6 months ago I was tasked with finding a way back to school for spring semester. Coming off of fall break, I was struggling to find money for a train ticket. Luckily the dilemma was short lived. Because of my supporting family and friends they came up with a way to help me. With the support of family and close friends, they helped out tremendously. I was able to get back to school to finish out my spring semester with great grades. The lessons learned is saving money and looking into fares ahead of time as they are cheaper. People will pay a premium for train tickets if they purchase them late. Another lesson learned is to always have a strong support system. In addition to having a strong support system, it reminds me to never forget those whom helped me. Paying it forward is an important part of my journey in life. Keeping in mind a philosophy of interdependence, we all owe one another. I do my very best to dedicate my time and efforts to helping others. One day those same people you have helped will be in a position to help you. In saying that, always do good unto other people as you will one day need it.;truthful;indecisive;6.75917387;1;8;29
